support,itemsets,itemset_length
0.04319741622930965,APPLES,1
0.03794913201453371,BACON,1
0.1586596689543803,BAG SNACKS,1
0.2228502220427937,BAKED BREAD/BUNS/ROLLS,1
0.06526712420939308,BAKED SWEET GOODS,1
0.03714170367379895,BAKING MIXES,1
0.029201991656573813,BAKING NEEDS,1
0.04925312878482035,BATH TISSUES,1
0.03498856143183959,BEANS - CANNED GLASS & MW,1
0.1438568160409097,BEEF,1
0.06203741084645405,BEERS/ALES,1
0.04225541649845243,BERRIES,1
0.023280850491185574,BREAD,1
0.03445027587134975,BREAKFAST SAUSAGE/SANDWICHES,1
0.036334275333064193,BREAKFAST SWEETS,1
0.09675682949804872,CANDY - CHECKLANE,1
0.07993540573274122,CANDY - PACKAGED,1
0.07387969317723052,CANNED JUICES,1
0.028529134705961513,CARROTS,1
0.16431166733952363,CHEESE,1
0.03794913201453371,CHEESES,1
0.06028798277486207,CHICKEN,1
0.023011707710940653,CHICKEN/POULTRY,1
0.03969856008612569,CIGARETTES,1
0.03889113174539093,CITRUS,1
0.04023684564661553,COFFEE,1
0.09083568833266048,COLD CEREAL,1
0.08114654824384336,CONDIMENTS/SAUCES,1
0.05275198492800431,CONVENIENT BRKFST/WHLSM SNACKS,1
0.07643654958955726,COOKIES/CONES,1
0.05369398465886153,COUPON/MISC ITEMS,1
0.078993406001884,CRACKERS/MISC BKD FD,1
0.06567083837976047,DELI MEATS,1
0.04656170098237115,DINNER MXS:DRY,1
0.04535055847126901,DINNER SAUSAGE,1
0.021665993809716056,DISHWASH DETERGENTS,1
0.023011707710940653,DOG FOODS,1
0.04615798681200377,DRY BN/VEG/POTATO/RICE,1
0.04763827210335083,DRY NOODLES/PASTA,1
0.09325797335486476,EGGS,1
0.025299421343022474,FACIAL TISS/DNR NAPKIN,1
0.04333198761943211,FD WRAPS/BAGS/TRSH BG,1
0.24047907414883596,FLUID MILK PRODUCTS,1
0.027048849414614454,FROZEN BREAD/DOUGH,1
0.028932848876328892,FROZEN MEAT,1
0.08074283407347597,FROZEN PIZZA,1
0.04723455793298345,FRUIT - SHELF STABLE,1
0.025299421343022474,FRZN BREAKFAST FOODS,1
0.08626026106849684,FRZN MEAT/MEAT DINNERS,1
0.04400484457004441,FRZN NOVELTIES/WTR ICE,1
0.027048849414614454,FRZN POTATOES,1
0.03485399004171713,FRZN VEGETABLE/VEG DSH,1
0.028798277486206433,GRAPES,1
0.03660341811330911,GREETING CARDS/WRAP/PARTY SPLY,1
0.03068227694792087,HAIR CARE PRODUCTS,1
0.04925312878482035,HISPANIC,1
0.053559413268739066,HOT DOGS,1
0.028125420535594133,HOUSEHOLD CLEANG NEEDS,1
0.0715919795451487,ICE CREAM/MILK/SHERBTS,1
0.022069707980083435,ISOTONIC DRINKS,1
0.03256627640963531,LAUNDRY DETERGENTS,1
0.08558740411788454,LUNCHMEAT,1
0.025972278293634774,MAGAZINE,1
0.045081415691024085,MARGARINES,1
0.03256627640963531,MEAT - MISC,1
0.046023415421881306,MEAT - SHELF STABLE,1
0.07038083703404656,MILK BY-PRODUCTS,1
0.03350827614049253,MISC. DAIRY,1
0.05557798412057596,ONIONS,1
0.029874848607186113,ORAL HYGIENE PRODUCTS,1
0.03041313416767595,PAPER HOUSEWARES,1
0.036334275333064193,PAPER TOWELS,1
0.042928273449064726,PASTA SAUCE,1
0.034584847261472214,PEPPERS-ALL,1
0.025164849952900012,PICKLE/RELISH/PKLD VEG,1
0.04387027317992195,PNT BTR/JELLY/JAMS,1
0.04279370205894227,PORK,1
0.04804198627371821,POTATOES,1
0.04360113039967703,REFRGRATD DOUGH PRODUCTS,1
0.10510025568564123,REFRGRATD JUICES/DRNKS,1
0.022742564930695736,REFRIGERATED,1
0.03956398869600323,SALAD BAR,1
0.055308841340331046,SALAD MIX,1
0.024088278831920332,SALADS/DIPS,1
0.07455255012784281,SALD DRSNG/SNDWCH SPRD,1
0.026645135244247074,SEAFOOD - FROZEN,1
0.028932848876328892,SEAFOOD - SHELF STABLE,1
0.03068227694792087,SHORTENING/OIL,1
0.022338850760328353,SOAP - LIQUID & BAR,1
0.28367649037814563,SOFT DRINKS,1
0.06715112367110752,SOUP,1
0.03270084779975777,SPICES & EXTRACTS,1
0.03552684699232943,SUGARS/SWEETNERS,1
0.072264836495761,TOMATOES,1
0.12663167810523482,TROPICAL FRUIT,1
0.030278562777553492,VALUE ADDED FRUIT,1
0.05692369802180056,VEGETABLES - ALL OTHERS,1
0.0736105503969856,VEGETABLES - SHELF STABLE,1
0.04656170098237115,VEGETABLES SALAD,1
0.022607993540573273,WAREHOUSE SNACKS,1
0.0668819808908626,WATER - CARBONATED/FLVRD DRINK,1
0.06607455255012784,YOGURT,1
0.022607993540573273,"APPLES, BAKED BREAD/BUNS/ROLLS",2
0.024357421612165253,"APPLES, FLUID MILK PRODUCTS",2
0.023684564661552953,"APPLES, TROPICAL FRUIT",2
0.021531422419593594,"BACON, BAKED BREAD/BUNS/ROLLS",2
0.020320279908491456,"BACON, CHEESE",2
0.020185708518368994,"BACON, FLUID MILK PRODUCTS",2
0.07307226483649576,"BAG SNACKS, BAKED BREAD/BUNS/ROLLS",2
0.024761135782532633,"BAG SNACKS, BAKED SWEET GOODS",2
0.04629255820212623,"BAG SNACKS, BEEF",2
0.020320279908491456,"BAG SNACKS, CANDY - CHECKLANE",2
0.021531422419593594,"BAG SNACKS, CANDY - PACKAGED",2
0.025837706903512312,"BAG SNACKS, CANNED JUICES",2
0.059345983044004846,"BAG SNACKS, CHEESE",2
0.029067420266451354,"BAG SNACKS, COLD CEREAL",2
0.030278562777553492,"BAG SNACKS, CONDIMENTS/SAUCES",2
0.021127708249226215,"BAG SNACKS, CONVENIENT BRKFST/WHLSM SNACKS",2
0.030278562777553492,"BAG SNACKS, COOKIES/CONES",2
